DigitalCode;LetterCode;Units;Currency;Rate
36;AUD;1;Австралийский доллар;53,6195
944;AZN;1;Азербайджанский манат;47,6521
12;DZD;100;Алжирских динаров;62,5697
51;AMD;100;Армянских драмов;21,1323
764;THB;10;Батов;24,9803
48;BHD;1;Бахрейнский динар;215,4016
933;BYN;1;Белорусский рубль;27,1049
975;BGN;1;Болгарский лев;48,5596
68;BOB;1;Боливиано;11,7234
986;BRL;1;Бразильский реал;15,2257
410;KRW;1000;Вон;57,6163
344;HKD;1;Гонконгский доллар;10,4298
980;UAH;10;Гривен;19,6259
208;DKK;1;Датская крона;12,7212
784;AED;1;Дирхам ОАЭ;22,0581
840;USD;1;Доллар США;81,0085
704;VND;10000;Донгов;32,1756
978;EUR;1;Евро;95,3411
818;EGP;10;Египетских фунтов;16,9608
985;PLN;1;Злотый;22,3719
392;JPY;100;Иен;55,0442
356;INR;100;Индийских рупий;91,3515
364;IRR;100000;Иранских риалов;13,9258
124;CAD;1;Канадский доллар;58,1123
634;QAR;1;Катарский риал;22,2551
192;CUP;10;Кубинских песо;33,7535
104;MMK;1000;Кьятов;38,5755
981;GEL;1;Лари;29,7192
498;MDL;10;Молдавских леев;48,4968
566;NGN;1000;Найр;54,9081
554;NZD;1;Новозеландский доллар;47,1105
934;TMT;1;Новый туркменский манат;23,1453
578;NOK;10;Норвежских крон;81,4672
512;OMR;1;Оманский риал;210,6853
946;RON;1;Румынский лей;18,7268
360;IDR;10000;Рупий;48,5662
710;ZAR;10;Рэндов;47,163
682;SAR;1;Саудовский риял;21,6023
960;XDR;1;СДР (специальные права заимствования);111,0643
941;RSD;100;Сербских динаров;81,1421
702;SGD;1;Сингапурский доллар;62,8753
417;KGS;100;Сомов;92,6341
972;TJS;10;Сомони;86,4128
50;BDT;100;Так;66,4724
398;KZT;100;Тенге;14,7516
496;MNT;1000;Тугриков;22,5478
949;TRY;10;Турецких лир;19,4964
860;UZS;10000;Узбекских сумов;67,0373
348;HUF;100;Форинтов;24,4547
826;GBP;1;Фунт стерлингов;109,4182
203;CZK;10;Чешских крон;39,2902
752;SEK;10;Шведских крон;86,0626
756;CHF;1;Швейцарский франк;101,7439
230;ETB;100;Эфиопских быров;56,1985
156;CNY;1;Юань;11,3342
